国际UHD,#genre#
Astro Super Sport 4K,http://line.tektv.live/play/live.php?mac=00:1A:79:A8:0E:7F&extension=ts&play_token=KdOGLwAyZf&stream=1016544
Astro Super Sport 4K,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/348094
Astro Super Sport 4K,http://nordicstream.xyz:2095/xMsGHAzQ/kYuckAK/348094
Astro Super Sport 4K,http://abc123.digital:8080/Deacon68/uFHfwNRuHH/484698
Astro Super Sport 4K,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:00:04:02&stream=348094&extension=ts&play_token=FzoklzfqN1
Astro Super Sport 4K,http://clientsportals.tv:2095/play/live.php?mac=00:1A:79:c0:0f:95&stream=348094&extension=ts&play_token=kgKJ5bkM20
Astro Super Sport 4K,http://193.107.202.221:81/live/Kirk123/Kirk123/1552951.ts

Bein Sport 4K,http://theking365tv.ws:2103/play/live.php?mac=00:1A:79:5c:f4:67&stream=24083&extension=ts&play_token=70AEFyMfql
Bein Sport 4K,http://theking365tv.ws:2103/play/live.php?mac=00:1A:79:5c:f4:67&stream=100891&extension=ts&play_token=ou2Un6sNC5
Bein Sport 4K,http://k13tvonline.eu:8000/play/live.php?mac=00:1A:79:48:3C:F0&stream=189095&extension=ts&play_token=t1kkZSahBq

Hub Premier Sport 4K,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/348096
Hub Premier Sport 4K,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:00:04:02&stream=348096&extension=ts&play_token=zpHQS3jtnW
Hub Premier Sport 4K,http://clientsportals.tv:2095/play/live.php?mac=00:1A:79:00:04:02&stream=348096&extension=ts&play_token=zpHQS3jtnW

Now Sports 4K,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/117957
Now Sports 4K,http://line.tektv.live/play/live.php?mac=00:1A:79:A8:0E:7F&extension=ts&play_token=KdOGLwAyZf&stream=1032489
Now Sports 4K,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:00:04:02&stream=117957&extension=ts&play_token=AbdVvv7KCM
Now Sports 4K,http://clientsportals.tv:2095/play/live.php?mac=00:1A:79:00:04:02&stream=117957&extension=ts&play_token=AbdVvv7KCM

Sport5 4K,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/59033
Sport5 4K,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:c0:0f:95&stream=59033&extension=ts&play_token=h3Jb2BBUAL
Sport5 4K,http://clientsportals.tv:2095/play/live.php?mac=00:1A:79:c0:0f:95&stream=59033&extension=ts&play_token=h3Jb2BBUAL

Viaplay Sports UHD,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/31644
Viaplay Sports UHD,http://ultratv.one:2095/xMsGHAzQ/kYuckAK/35891
Viaplay Sports UHD,http://clientsportals.tv:2095/play/live.php?mac=00:1A:79:bf:85:ce&stream=35891&extension=ts&play_token=Z1hXUmbsiM
Viaplay Sports UHD,http://clientsportals.tv:2095/play/live.php?mac=00:1A:79:bf:85:ce&stream=31644&extension=ts&play_token=Z1hXUmbsiM
Viaplay Sports UHD,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:bf:85:ce&stream=35891&extension=ts&play_token=Z1hXUmbsiM
Viaplay Sports UHD,http://tvt3.xyz:2095/play/live.php?mac=00:1A:79:bf:85:ce&stream=31644&extension=ts&play_token=Z1hXUmbsiM

1MV 4K,http://136.243.42.146:1499

