国际新闻,#genre#
ABC News AU,https://c.mjh.nz/101002210220
ABC Me,https://c.mjh.nz/101002210224
ABC TV,https://c.mjh.nz/3201026102E1
ABC TV Plus,https://c.mjh.nz/abc2
ABC News US,https://d2gjhy8g9ziabr.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-samsungtvplus-stitched/samsungtvplus_us_abcnewslive_001.m3u8
Africa News,https://rakuten-africanews-1-dk.samsung.wurl.com/manifest/playlist.m3u8
Africa News,https://rakuten-africanews-1-no.samsung.wurl.com/manifest/eeb88fab4703f2644e2ca1e8308008c8.m3u8
Al Jazeera,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
Al Jazeera,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
Al Jazeera,https://live-hls-web-aje.getaj.net/AJE/index.m3u8
Al Jazeera,https://live-hls-aje-ak.getaj.net/AJE/01.m3u8
Al Jazeera,http://185.236.229.31:9981/play/a04m
Al Jazeera,http://www.336699.live:1935/blockfour/litv-ftv10.stream/playlist.m3u8
Arirang TV,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
BBC World News,http://185.236.229.31:9981/play/a072
BBC World News,http://ip2121.com:8081/live/bbc/playlist.m3u8
Bloomberg,http://185.236.229.31:9981/play/a04k
Bloomberg,https://bloomberg-bloombergtv-1-it.samsung.wurl.com/manifest/playlist.m3u8
Bloomberg Quicktake,https://bloomberg-quicktake-1.samsung.wurl.com/manifest/playlist.m3u8
CBC News,https://d2gjhy8g9ziabr.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-samsungtvplus-stitched/samsungtvplus_ca_cbcnews_001.m3u8
CBS News,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8
Cheddar News,https://dai.google.com/linear/hls/event/frfwucAPTVunrpitYiymwg/master.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNBC Asia,http://www.336699.live:1935/blocksix/4gtv-live130.stream/playlist.m3u8
CNBC US,https://tvnow.best/api/stream/greg.g99@gmail.com/953209/livetv.epg/cnbc.usa.us.m3u8
CNN,https://tvnow.best/api/stream/greg.g99@gmail.com/953209/livetv.epg/cnn.us.m3u8
CNN Live,http://ip2121.com:8081/live/cnn/playlist.m3u8
CNN Replay,https://doq6y2m748j16.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/CNN-prod/playlist.m3u8
DW,http://185.236.229.31:9981/play/a068
Euronews,https://euronews.alteox.app/hls/en_stream.m3u8
FOX Live Now,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-fox-newsnow-samsung/playlist.m3u8
FOX News,https://tvnow.best/api/stream/greg.g99@gmail.com/953209/livetv.epg/fox.news.us.m3u8
FOX Business,https://tvnow.best/api/stream/greg.g99@gmail.com/953209/livetv.epg/fox.business.us.m3u8
France 24,http://n1.klowdtv.net/live2/france24_720p/chunks.m3u8
