港澳频道,#genre#
凤凰中文,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227222/index.m3u8
凤凰资讯,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227226/index.m3u8
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8

凤凰中文,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰资讯,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1

凤凰中文,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰资讯,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1

凤凰中文,http://[2409:8087:3869:8021:1001::e5]:6610/ysten-businessmobile/live/fhchinese/index.m3u8
凤凰资讯,http://[2409:8087:3869:8021:1001::e5]:6610/ysten-businessmobile/live/fhzixun/index.m3u8

凤凰中文,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227222/index.m3u8
凤凰资讯,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227226/index.m3u8
凤凰香港,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226251/index.m3u8

凤凰香港,http://120.84.96.73:808/hls/81/index.m3u8

无线新闻台,https://cdn.hklive.tv/xxxx/83/index.m3u8
无线翡翠台,https://cdn.hklive.tv/xxxx/81/index.m3u8
无线明珠台,https://cdn.hklive.tv/xxxx/84/index.m3u8
无线华丽台,http://23.237.10.66:16410
无线财经体育资讯台,https://cdn.hklive.tv/xxxx/85/index.m3u8
无线J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
有线新闻台,https://cdn.hklive.tv/xxxx/109/index.m3u8
有线直播新闻台,https://cdn.hklive.tv/xxxx/110/index.m3u8
有线财经资讯台,https://cdn.hklive.tv/xxxx/108/index.m3u8
香港国际财经台,https://cdn.hklive.tv/xxxx/76/index.m3u8
HOY TV,https://cdn.hklive.tv/xxxx/77/index.m3u8
HOY 资讯台,https://cdn.hklive.tv/xxxx/78/index.m3u8
RTHK 31,https://cdn.hklive.tv/xxxx/31/index.m3u8
RTHK 32,https://cdn.hklive.tv/xxxx/32/index.m3u8
RTHK 33,https://cdn.hklive.tv/xxxx/33/index.m3u8
RTHK 34,https://cdn.hklive.tv/xxxx/34/index.m3u8
ViuTV,https://cdn.hklive.tv/xxxx/99/index.m3u8
ViuTV 6,https://cdn.hklive.tv/xxxx/96/index.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

无线新闻台,http://tvmvip110.club/tvb.php?id=0
无线新闻台,http://tvmvip110.club/tvb.php?id=1
无线新闻台,http://tvmvip110.club/tvb.php?id=4

无线翡翠台,http://r.jdshipin.com/62WM7
