海外华语,#genre#
新唐人亚太,https://raw.githubusercontent.com/echolin73/utlive/main/live/ch40.m3u8
新唐人亚太,https://raw.githubusercontent.com/echolin73/utlive/YTlive/ntdaptv.m3u8
新唐人亚太,https://live.ntdtv.com/aplive200/playlist.m3u8
新唐人中国,https://live.ntdtv.com/cnlive900/playlist.m3u8
新唐人美东,https://ntd02.akamaized.net/HD-NY/index.m3u8
新唐人美东,https://live.ntdtv.com/live900/playlist.m3u8
新唐人美西,https://live.ntdtv.com/uwlive990/playlist.m3u8
新唐人美西,https://live.ntdtv.com/uwlive520/playlist.m3u8
新唐人欧洲,https://live.ntdtv.com/eulive600/playlist.m3u8
新唐人加东,https://live.ntdtv.com/mllive860/playlist.m3u8
新唐人加西,https://live.ntdtv.com/cwlive220/playlist.m3u8
新唐人旧金山,https://live.ntdtv.com/sflive990/playlist.m3u8
新唐人休斯顿,https://live.ntdtv.com/htlive480/playlist.m3u8

八度空间,http://23.237.10.66:16406
八度空间,http://23.237.10.66:16495
八度空间,http://2022.stream-link.org/playlist/8tv.ts
Astro 欢喜台,http://50.7.238.114:8278/Huahee/playlist.m3u8?tid=MACA4355211343552113&ct=19225&tsum=ac0abb0a68c5c3600edaec9002729496

美国中文电视,https://jpts.sinovision.net/livestream.m3u8
美国中文电视,https://cdnts.sinovision.net/livestream.m3u8
华语电视1,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
华语电视1,http://38.64.72.148:80/hls/modn/list/4001/chunklist1.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist1.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist1.m3u8
