福建频道,#genre#
福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8
福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8
福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8
福建文体,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8
福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8
福建公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8
福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8
福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
福建教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226981/index.m3u8
福州一套 新闻频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227157/index.m3u8
福州一套 新闻频道,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福州三套 生活频道,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福州四套 少儿频道,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
厦门一套 综合频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/index.m3u8
厦门二套 海峡频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8
厦门三套 生活频道,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8

福建新闻,rtsp://183.252.166.199/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
福建综合,rtsp://183.252.166.199/PLTV/88888888/224/3221226826/47882539.smil
福建经济,rtsp://183.252.166.199/PLTV/88888888/224/3221226117/10000100000000060000000002358072_0.smil
福建文体,rtsp://183.252.166.199/PLTV/88888888/224/3221226127/10000100000000060000000002434540_0.smil
福建旅游,rtsp://183.252.166.199/PLTV/88888888/224/3221226125/10000100000000060000000002358191_0.smil
福建公共,rtsp://183.252.176.54/PLTV/88888888/224/3221226113/10000100000000060000000002358064_0.smil
福建少儿,rtsp://183.252.166.199/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
福建电视剧,rtsp://183.252.166.199/PLTV/88888888/224/3221226115/10000100000000060000000002358067_0.smil
福建教育,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226776/47876618.smil
福州一套 新闻频道,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226776/47876618.smil
厦门一套 综合频道,rtsp://183.252.176.54/PLTV/88888888/224/3221226798/45744988.smil

福建新闻,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8
福建综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227149/index.m3u8
福建经济,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227184/index.m3u8
福建文体,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227188/index.m3u8
福建旅游,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227190/index.m3u8
福建公共,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227153/index.m3u8
福建少儿,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227194/index.m3u8
福建电视剧,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
福建教育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227202/index.m3u8
福建教育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226981/index.m3u8
福州一套 新闻频道,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227157/index.m3u8
