BesTV精选,#genre#
超级体育,http://183.207.255.188/live/program/live/qcsj8m/8000000/mnf.m3u8
汽车世界,http://183.207.255.188/live/program/live/qcsj8m/8000000/mnf.m3u8
看天下精选,http://183.207.255.188/live/program/live/ktxjx8m/8000000/mnf.m3u8
全球大片,http://183.207.255.188/live/program/live/qqdp8m/8000000/mnf.m3u8
华语影院,http://183.207.255.188/live/program/live/hyyy8m/8000000/mnf.m3u8
星光影院,http://183.207.255.188/live/program/live/xgyy8m/8000000/mnf.m3u8
谍战剧场,http://183.207.255.188/live/program/live/dzjc8m/8000000/mnf.m3u8
热门剧场,http://183.207.255.188/live/program/live/rmjc8m/8000000/mnf.m3u8
热门综艺,http://183.207.255.188/live/program/live/rmzy8m/8000000/mnf.m3u8
戏曲精选,http://183.207.255.188/live/program/live/xqjx8m/8000000/mnf.m3u8
健康养生,http://183.207.255.188/live/program/live/jkys8m/8000000/mnf.m3u8
青春动漫,http://183.207.255.188/live/program/live/qcdm8m/8000000/mnf.m3u8
宝宝动画,http://183.207.255.188/live/program/live/bbdh8m/8000000/mnf.m3u8
电竞天堂,http://183.207.255.188/live/program/live/djtt8m/8000000/mnf.m3u8
百变课堂,http://183.207.255.188/live/program/live/bbkt8m/8000000/mnf.m3u8

超级体育,http://live.v1.mk/api/bestv.php?id=qcsj8m/8000000
汽车世界,http://live.v1.mk/api/bestv.php?id=qcsj8m/8000000
看天下精选,http://live.v1.mk/api/bestv.php?id=ktxjx8m/8000000
全球大片,http://live.v1.mk/api/bestv.php?id=qqdp8m/8000000
华语影院,http://live.v1.mk/api/bestv.php?id=hyyy8m/8000000
星光影院,http://live.v1.mk/api/bestv.php?id=xgyy8m/8000000
谍战剧场,http://live.v1.mk/api/bestv.php?id=dzjc8m/8000000
热门剧场,http://live.v1.mk/api/bestv.php?id=rmjc8m/8000000
热门综艺,http://live.v1.mk/api/bestv.php?id=rmzy8m/8000000
戏曲精选,http://live.v1.mk/api/bestv.php?id=xqjx8m/8000000
健康养生,http://live.v1.mk/api/bestv.php?id=jkys8m/8000000
青春动漫,http://live.v1.mk/api/bestv.php?id=qcdm8m/8000000
宝宝动画,http://live.v1.mk/api/bestv.php?id=bbdh8m/8000000
电竞天堂,http://live.v1.mk/api/bestv.php?id=djtt8m/8000000
百变课堂,http://live.v1.mk/api/bestv.php?id=bbkt8m/8000000
