Insight TV,#genre#
INFAST,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-insighttv/playlist.m3u8

INSIGHT,https://insighttv-samsungau.amagi.tv/playlist.m3u8
INSIGHT,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-insightcanada/playlist.m3u8
INSIGHT,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsunguk-insight-insighttv-uk/playlist.m3u8
INSIGHT,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00861-terninternation-insighttvrow-samsungnz/playlist.m3u8

INTROUBLE,https://introuble-samsungau.amagi.tv/playlist.m3u8
INTROUBLE,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsunguk-introubleuk/playlist.m3u8
INTROUBLE,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00861-terninternation-introublenz-samsungnz/playlist.m3u8

INWILD,https://inwild-samsungau.amagi.tv/playlist.m3u8
INWILD,https://inwild-samsung-uk.amagi.tv/playlist720-p.m3u8
INWILD,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsunguk-inwild-samsung-uk/playlist.m3u8
INWILD,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00861-terninternation-inwildnz-samsungnz/playlist.m3u8

INWONDER,https://inwonder-samsungau.amagi.tv/playlist.m3u8
INWONDER,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00861-terninternation-inwonderus-samsungca/playlist.m3u8
INWONDER,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsunguk-insight-inwonder-uk/playlist.m3u8
INWONDER,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00861-terninternation-inwondernz-samsungnz/playlist.m3u8
