电视指南,#genre#
九分屏-1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226664/index.m3u8
九分屏-2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226866/index.m3u8
九分屏-1,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1
九分屏-2,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221226866/index.m3u8?servicetype=1
九分屏-1,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1
九分屏-2,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226866/index.m3u8?servicetype=1
九分屏-1,http://39.135.55.105:6610/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1
九分屏-2,http://39.135.55.105:6610/PLTV/88888888/224/32212276866/index.m3u8?servicetype=1
九分屏-1,http://112.50.243.8/PLTV/88888888/224/3221226664/1.m3u8
九分屏-2,http://112.50.243.8/PLTV/88888888/224/3221226866/1.m3u8
九分屏-1,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1
九分屏-2,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226866/index.m3u8?servicetype=1
CCTV 电视指南,http://116.172.148.65/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tlivecloud-ipv6.ysp.CCTV.cn/ysp/2012514003.m3u8
CCTV 电视指南,http://112.46.224.181/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/tlivecloud-ipv6.ysp.CCTV.cn/ysp/2012514003.m3u8
CCTV 电视指南,http://mail.petzhu.top:7000/rtp/239.254.200.217:6256
福建导视,http://www.terrykang.cn:5678/fjgd.php?id=fjds


UHD超清,#genre#
北京纪实 8K,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8

CCTV-8K,https://tv.cry33.com/ys4k.php?id=8k

CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8

CCTV-16 奥林匹克 4K,http://zterr.hvs.fj.chinamobile.com:6060/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1
CCTV-16 奥林匹克 4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227162/index.m3u8
CCTV-16 奥林匹克 4K,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1
CCTV-16 奥林匹克 4K,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227162/index.m3u8

